id,twitter_id,content
priya,539826743,"Assignment Reminder! 2014_test-section2. Your assignment, Section 1.10.33 of ""de Finibus Bonorum et Malorum"", written by Cicero in 45 BC,  due on May 26, 2014."
richa,1175048832,"Assignment Reminder! 2014_test-section2. Your assignment, Section 1.10.33 of ""de Finibus Bonorum et Malorum"", written by Cicero in 45 BC,  due on May 26, 2014."
priya,539826743,"Assignment Reminder! 2014_test-section2. Your assignment, chapter4,  due on April 29, 2014."
richa,1175048832,"Assignment Reminder! 2014_test-section2. Your assignment, chapter4,  due on April 29, 2014."
priya,539826743,"Assignment Reminder! 2014_test-section2. Your assignment, Section 1.10.33 of ""de Finibus Bonorum et Malorum"", written by Cicero in 45 BC,  due on May 26, 2014."
richa,1175048832,"Assignment Reminder! 2014_test-section2. Your assignment, Section 1.10.33 of ""de Finibus Bonorum et Malorum"", written by Cicero in 45 BC,  due on May 26, 2014."
priya,539826743,"Assignment Reminder! 2014_test-section2. Your assignment, chapter4,  due on April 29, 2014."
richa,1175048832,"Assignment Reminder! 2014_test-section2. Your assignment, chapter4,  due on April 29, 2014."
