id,twitter_id,content
sanjay,115992765,"AssignMent Reminder! semid_test_section1. Your assignment, chapter33,  due on March 21, 2014."
tarun,1175048832,"AssignMent Reminder! semid_test_section1. Your assignment, chapter33,  due on March 21, 2014."
sanjay,115992765,"AssignMent Reminder! sam_test_section1. Your assignment, chapter2,  due on March 21, 2014."
sanjay,115992765,"AssignMent Reminder! semid_test_section1. Your assignment, chapter33,  due on March 21, 2014."
tarun,1175048832,"AssignMent Reminder! semid_test_section1. Your assignment, chapter33,  due on March 21, 2014."
sanjay,115992765,"AssignMent Reminder! sam_test_section1. Your assignment, chapter2,  due on March 21, 2014."
