id,twitter_id,content
sanjay,115992765,"AssignMent Reminder! 2014_test-section1. Your assignment, chapter1,  due on March 21, 2014."
tarun,1175048832,"AssignMent Reminder! 2014_test-section1. Your assignment, chapter1,  due on March 21, 2014."
sanjay,115992765,"AssignMent Reminder! 2014_test-section1. Your assignment, chapter2,  due on March 21, 2014."
tarun,1175048832,"AssignMent Reminder! 2014_test-section1. Your assignment, chapter2,  due on March 21, 2014."
sanjay,115992765,"AssignMent Reminder! 2014_test-section1. Your assignment, chapter5,  due on March 21, 2014."
tarun,1175048832,"AssignMent Reminder! 2014_test-section1. Your assignment, chapter5,  due on March 21, 2014."
